"lat (deg)","lng (deg)","alt (m)","az (deg)","el (deg)","range (m)","ha (deg)","dec (deg)","utime","isotime","grndLat (deg)","grndLng (deg)","grndAlt (m)","aprsLat (deg)","aprsLng (deg)","aprsAlt (m)","predLat (deg)","predLng (deg)","predAlt (m)","command","source"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:45:42.195855","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","pred"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:45:52.231822","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","pred"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:46:02.302291","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","pred"
"42.28833","-83.71467","671.0","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","1550774250.0","2019-02-25 16:46:14.161982","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","aprs"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:46:24.212188","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","pred"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:46:34.261617","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","pred"
"42.28833","-83.71467","671.0","23.851559837736282","-40.0858599689816","8228918.664959138","-10.794096995063354","4.85064307040788","1550774250.0","2019-02-25 16:46:45.183372","-404","-404","-404","42.28833","-83.71467","671.0","488.57666","236.57066","1746.0","#12;","aprs"
"-850.28833","-724.28533","-1479.0","233.07856949544774","-63.48856939722826","11381619.507513802","9.564568911530554","-53.1660029704935","-404","2019-02-25 16:46:55.282367","-404","-404","-404","42.28833","-83.71467","671.0","-850.28833","-724.28533","-1479.0","#12;","pred"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:47:05.332452","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","pred"
"42.28833","-83.71467","671.0","23.851559837736282","-40.0858599689816","8228918.664959138","-10.794096995063354","4.85064307040788","1550774250.0","2019-02-25 16:47:16.122925","-404","-404","-404","42.28833","-83.71467","671.0","488.57666","236.57066","1746.0","#12;","aprs"
"-1742.86499","-1364.85599","-3629.0","11.496562325130931","-39.55078156580197","8128310.500885172","-11.405511134868243","7.510525913658549","-404","2019-02-25 16:47:26.172793","-404","-404","-404","42.28833","-83.71467","671.0","-1742.86499","-1364.85599","-3629.0","#12;","pred"
"42.28832999999997","-83.71466999999996","671.0","58.23675421337122","8.765988769329198","2490.3374105330563","-7.05099374940569","29.17408493238724","-404","2019-02-25 16:47:36.222795","-404","-404","-404","42.28833","-83.71467","671.0","42.28832999999997","-83.71466999999996","671.0","#12;","pred"
"42.28833","-83.71467","671.0","23.851559837736282","-40.0858599689816","8228918.664959138","-10.794096995063354","4.85064307040788","1550774250.0","2019-02-25 16:47:47.112996","-404","-404","-404","42.28833","-83.71467","671.0","488.57666","236.57066","1746.0","#12;","aprs"
"-3528.01831","-2645.99731","-7929.0","339.22233996063017","-18.12309538465942","3942165.2494014404","10.522853189330695","26.6290409351988","-404","2019-02-25 16:47:57.153415","-404","-404","-404","42.28833","-83.71467","671.0","-3528.01831","-2645.99731","-7929.0","#12;","pred"
"1827.44165","1197.42665","4971.0","340.3765144463134","-53.75203530900089","10308200.046426073","11.229756164395617","-7.494804463974911","-404","2019-02-25 16:48:07.213245","-404","-404","-404","42.28833","-83.71467","671.0","1827.44165","1197.42665","4971.0","#12;","pred"
"42.28833","-83.71467","671.0","58.23675421315395","8.765988769333589","2490.337410530327","-7.050993749416818","29.174084932545004","1550774250.0","2019-02-25 16:48:18.013589","-404","-404","-404","42.28833","-83.71467","671.0","42.28833000000003","-83.71467000000004","671.0","#12;","aprs"
"-7098.32495","-5208.27995","-16529.0","15.306506849702886","-25.119334396616377","5378889.674771572","-11.010127981003924","21.136778977001565","-404","2019-02-25 16:48:28.063600","-404","-404","-404","42.28833","-83.71467","671.0","-7098.32495","-5208.27995","-16529.0","#12;","pred"
"7182.90161","5040.85061","17871.0","106.02926022471557","-48.6574813137536","9589014.01187064","-8.285500461705318","-39.792727466244806","-404","2019-02-25 16:48:38.113711","-404","-404","-404","42.28833","-83.71467","671.0","7182.90161","5040.85061","17871.0","#12;","pred"
"42.28833","-83.71467","671.0","11.496562325130931","-39.55078156580197","8128310.500885172","-11.405511134868243","7.510525913658549","1550774250.0","2019-02-25 16:48:48.947486","-404","-404","-404","42.28833","-83.71467","671.0","-1742.86499","-1364.85599","-3629.0","#12;","aprs"
"-14238.93823","-10332.84523","-33729.0","154.9753774366968","-13.233203081438157","2755449.7243188056","-2.9441347530947994","-53.76876552958672","-404","2019-02-25 16:48:58.993946","-404","-404","-404","42.28833","-83.71467","671.0","-14238.93823","-10332.84523","-33729.0","#12;","pred"
"21464.12817","15289.981170000001","52271.0","133.05718444254302","-54.15321848280789","10371081.457880538","-8.513769627656384","-57.258406496157036","-404","2019-02-25 16:49:09.048435","-404","-404","-404","42.28833","-83.71467","671.0","21464.12817","15289.981170000001","52271.0","#12;","pred"
